排名,学校名称,国家,国家/地区排名
1,哈佛大学,美国,1
2,斯坦福大学,美国,2
3,麻省理工学院,美国,3
4,剑桥大学,英国,1
5,加州大学-伯克利,美国,4
6,牛津大学,英国,2
7,普林斯顿大学,美国,5
8,加州理工学院,美国,6-7
8,哥伦比亚大学,美国,6-7
10,芝加哥大学,美国,8
11,耶鲁大学,美国,9
12,康奈尔大学,美国,10
12,巴黎萨克雷大学,法国,1
14,宾夕法尼亚大学,美国,11
15,加州大学-洛杉矶,美国,12
16,伦敦大学学院,英国,3
17,约翰斯·霍普金斯大学,美国,13
18,加州大学-圣地亚哥,美国,14-15
18,华盛顿大学,美国,14-15
20,加州大学-旧金山,美国,16
21,苏黎世联邦理工学院,瑞士,1
22,清华大学,中国,1
23,华盛顿大学-圣路易斯,美国,17
24,北京大学,中国,2
25,帝国理工学院,英国,4
26,多伦多大学,加拿大,1
27,浙江大学,中国,3
28,东京大学,日本,1
29,洛克菲勒大学,美国,18
30,密歇根大学-安娜堡,美国,19
31,纽约大学,美国,20
32,哥本哈根大学,丹麦,1
33,西北大学（埃文斯顿）,美国,21
33,巴黎文理研究大学,法国,2
35,北卡罗来纳大学-教堂山,美国,22
36,威斯康星大学-麦迪逊,美国,23
37,墨尔本大学,澳大利亚,1
38,上海交通大学,中国,4
39,杜克大学,美国,24
40,爱丁堡大学,英国,5
41,索邦大学,法国,3
42,中国科学技术大学,中国,5
43,卡罗林斯卡学院,瑞典,1
43,慕尼黑大学,德国,1
45,京都大学,日本,2
45,德克萨斯州大学-奥斯汀,美国,25
47,慕尼黑工业大学,德国,2
47,英属哥伦比亚大学,加拿大,2
47,明尼苏达大学-双城,美国,26
50,复旦大学,中国,6
50,海德堡大学,德国,3
52,曼彻斯特大学,英国,6
53,伦敦国王学院,英国,7
54,德克萨斯大学西南医学中心,美国,27
55,洛桑联邦理工学院,瑞士,2
55,伊利诺伊大学厄巴纳-香槟,美国,28
55,乌得勒支大学,荷兰,1
58,日内瓦大学,瑞士,3
58,马里兰大学-大学城,美国,29
60,巴黎西岱大学,法国,4
61,波恩大学,德国,4
62,南加州大学,美国,30
63,昆士兰大学,澳大利亚,2
64,加州大学-圣塔芭芭拉,美国,31
65,科罗拉多大学-博尔德,美国,32
66,范德堡大学,美国,33
67,苏黎世大学,瑞士,4
68,新加坡国立大学,新加坡,1
69,香港大学,中国香港,1
69,格罗宁根大学,荷兰,2
69,魏茨曼科学研究学院,以色列,1
72,中山大学,中国,7
72,奥斯陆大学,挪威,1
74,麦吉尔大学,加拿大,3
74,悉尼大学,澳大利亚,3
76,加州大学-欧文,美国,34
77,新南威尔士大学,澳大利亚,4
78,鲁汶大学（佛兰德语）,比利时,1
79,华中科技大学,中国,8
80,奥胡斯大学,丹麦,2
81,耶路撒冷希伯来大学,以色列,2
82,莫纳什大学,澳大利亚,5
82,南京大学,中国,9
82,俄亥俄州立大学-哥伦布,美国,35
85,以色列理工学院,以色列,3
86,首尔国立大学,韩国,1
86,德克萨斯大学安德森肿瘤中心,美国,36
88,乌普萨拉大学,瑞典,2
89,武汉大学,中国,10
90,根特大学,比利时,2
90,沙特国王大学,沙特阿拉伯,1
90,南洋理工大学,新加坡,2
90,匹兹堡大学,美国,37
94,中南大学,中国,11
95,巴塞尔大学,瑞士,5
95,西安交通大学,中国,12
97,布里斯托尔大学,英国,8
98,四川大学,中国,13
99,赫尔辛基大学,芬兰,1
100,普渡大学-西拉法叶,美国,38
101-150,艾克斯-马赛大学,法国,5-7
101-150,北京理工大学,中国,14-22
101-150,波士顿大学,美国,39-50
101-150,布朗大学,美国,39-50
101-150,卡内基梅隆大学,美国,39-50
101-150,香港城市大学,中国香港,2-3
101-150,埃莫里大学,美国,39-50
101-150,伊拉兹马斯大学,荷兰,3-6
101-150,哈尔滨工业大学,中国,14-22
101-150,吉林大学,中国,14-22
101-150,莱顿大学,荷兰,3-6
101-150,隆德大学,瑞典,3-5
101-150,梅奥诊所医学与科学学院,美国,39-50
101-150,麦克马斯特大学,加拿大,4-5
101-150,莫斯科国立大学,俄罗斯,1
101-150,西奈山医学院,美国,39-50
101-150,名古屋大学,日本,3
101-150,西北工业大学,中国,14-22
101-150,宾夕法尼亚州立大学-帕克,美国,39-50
101-150,奈梅亨大学,荷兰,3-6
101-150,莱斯大学,美国,39-50
101-150,罗格斯大学-新布朗斯维克,美国,39-50
101-150,罗马第一大学,意大利,1
101-150,山东大学,中国,14-22
101-150,华南理工大学,中国,14-22
101-150,南方科技大学,中国,14-22
101-150,东南大学,中国,14-22
101-150,斯德哥尔摩大学,瑞典,3-5
101-150,澳大利亚国立大学,澳大利亚,6-7
101-150,香港中文大学,中国香港,2-3
101-150,格拉斯哥大学,英国,9-12
101-150,西澳大利亚大学,澳大利亚,6-7
101-150,天津大学,中国,14-22
101-150,格勒诺布尔大学,法国,5-7
101-150,布鲁塞尔自由大学（法语）,比利时,3
101-150,阿尔伯塔大学,加拿大,4-5
101-150,阿姆斯特丹大学,荷兰,3-6
101-150,伯尔尼大学,瑞士,6-7
101-150,加州大学-戴维斯,美国,39-50
101-150,佛罗里达大学,美国,39-50
101-150,弗莱堡大学,德国,5
101-150,哥德堡大学,瑞典,3-5
101-150,洛桑大学,瑞士,6-7
101-150,利物浦大学,英国,9-12
101-150,诺丁汉大学,英国,9-12
101-150,圣保罗大学,巴西,1
101-150,斯特拉斯堡大学,法国,5-7
101-150,犹他大学,美国,39-50
101-150,维也纳大学,奥地利,1
101-150,华威大学,英国,9-12
151-200,亚利桑那州立大学,美国,51-59
151-200,北京航空航天大学,中国,23-33
151-200,北京师范大学,中国,23-33
151-200,卡迪夫大学,英国,13-20
151-200,凯斯西储大学,美国,51-59
151-200,重庆大学,中国,23-33
151-200,代尔夫特理工大学,荷兰,7-9
151-200,佐治亚理工学院,美国,51-59
151-200,法兰克福大学,德国,6-11
151-200,湖南大学,中国,23-33
151-200,印第安纳大学-布鲁明顿,美国,51-59
151-200,伦敦政治经济学院,英国,13-20
151-200,伦敦大学卫生和热带医学学院,英国,13-20
151-200,密歇根州立大学,美国,51-59
151-200,南开大学,中国,23-33
151-200,挪威科学技术大学,挪威,2
151-200,深圳大学,中国,23-33
151-200,苏州大学,中国,23-33
151-200,成均馆大学,韩国,2
151-200,丹麦技术大学,丹麦,3
151-200,香港理工大学,中国香港,4
151-200,阿德雷德大学,澳大利亚,8
151-200,卡尔加里大学,加拿大,6-8
151-200,谢菲尔德大学,英国,13-20
151-200,东京工业大学,日本,4
151-200,同济大学,中国,23-33
151-200,塔夫茨大学,美国,51-59
151-200,电子科技大学,中国,23-33
151-200,亚利桑那大学,美国,51-59
151-200,巴塞罗那大学,西班牙,1
151-200,伯明翰大学,英国,13-20
151-200,加州大学-圣克鲁兹,美国,51-59
151-200,科隆大学,德国,6-11
151-200,埃克塞特大学,英国,13-20
151-200,哥廷根大学,德国,6-11
151-200,利兹大学,英国,13-20
151-200,美因茨大学,德国,6-11
151-200,米兰大学,意大利,2-3
151-200,蒙彼利埃大学,法国,8
151-200,蒙特利尔大学,加拿大,6-8
151-200,明斯特大学,德国,6-11
151-200,比萨大学,意大利,2-3
151-200,罗切斯特大学,美国,51-59
151-200,南安普敦大学,英国,13-20
151-200,图宾根大学,德国,6-11
151-200,滑铁卢大学,加拿大,6-8
151-200,阿姆斯特丹自由大学,荷兰,7-9
151-200,瓦格宁根大学,荷兰,7-9
151-200,厦门大学,中国,23-33
151-200,郑州大学,中国,23-33
201-300,贝勒医学院,美国,60-78
201-300,北京化工大学,中国,34-51
201-300,首都医科大学,中国,34-51
201-300,鲁汶大学（法语）,比利时,4
201-300,中国农业大学,中国,34-51
201-300,中国地质大学（武汉）,中国,34-51
201-300,里昂第一大学,法国,9-11
201-300,科罗拉多州立大学,美国,60-78
201-300,科廷大学,澳大利亚,9-15
201-300,大连理工大学,中国,34-51
201-300,迪肯大学,澳大利亚,9-15
201-300,华东师范大学,中国,34-51
201-300,福州大学,中国,34-51
201-300,乔治梅森大学,美国,60-78
201-300,格里菲思大学,澳大利亚,9-15
201-300,杜塞尔多夫大学,德国,12-22
201-300,北海道大学,日本,5-9
201-300,香港科技大学,中国香港,5
201-300,江苏大学,中国,34-51
201-300,暨南大学,中国,34-51
201-300,卡尔斯鲁厄理工学院,德国,12-22
201-300,德国基尔大学,德国,12-22
201-300,阿卜杜勒阿齐兹国王大学,沙特阿拉伯,2-3
201-300,阿卜杜拉国王科技大学,沙特阿拉伯,2-3
201-300,韩国科学技术院,韩国,3-6
201-300,高丽大学,韩国,3-6
201-300,皇家理工学院,瑞典,6
201-300,九州大学,日本,5-9
201-300,兰州大学,中国,34-51
201-300,马斯特里赫特大学,荷兰,10
201-300,麦考瑞大学,澳大利亚,9-15
201-300,维也纳医科大学,奥地利,2-3
201-300,南昌大学,中国,34-51
201-300,南京医科大学,中国,34-51
201-300,南京航空航天大学,中国,34-51
201-300,台湾大学,中国台湾,1
201-300,纽卡斯尔大学（英国纽卡斯尔）,英国,21-25
201-300,北卡罗来纳州立大学-罗利,美国,60-78
201-300,东北大学（波士顿）,美国,60-78
201-300,东北大学（沈阳）,中国,34-51
201-300,俄勒冈卫生科学大学,美国,60-78
201-300,俄勒冈州立大学,美国,60-78
201-300,大阪大学,日本,5-9
201-300,北京协和医学院,中国,34-51
201-300,米兰理工大学,意大利,4-8
201-300,伦敦大学玛丽女王学院,英国,21-25
201-300,皇后大学,加拿大,9-12
201-300,昆士兰科技大学,澳大利亚,9-15
201-300,波鸿大学,德国,12-22
201-300,亚琛工业大学,德国,12-22
201-300,上海大学,中国,34-51
201-300,斯威本科技大学,澳大利亚,9-15
201-300,柏林工业大学,德国,12-22
201-300,特拉维夫大学,以色列,4
201-300,德州农工大学,美国,60-78
201-300,奥克兰大学（新西兰）,新西兰,1
201-300,东北大学（仙台）,日本,5-9
201-300,都柏林三一学院,爱尔兰,1
201-300,德累斯顿工业大学,德国,12-22
201-300,蔚山国立科技研究所,韩国,3-6
201-300,马萨诸塞大学医学院,美国,60-78
201-300,墨西哥国立自治大学,墨西哥,1
201-300,北京科技大学,中国,34-51
201-300,阿伯丁大学,英国,21-25
201-300,卑尔根大学,挪威,3
201-300,博洛尼亚大学,意大利,4-8
201-300,波尔多大学,法国,9-11
201-300,布宜诺斯艾利斯大学,阿根廷,1
201-300,加州大学-河滨,美国,60-78
201-300,开普敦大学,南非,1
201-300,科罗拉多大学-丹佛,美国,60-78
201-300,特拉华大学,美国,60-78
201-300,东英吉利大学,英国,21-25
201-300,埃朗根-纽伦堡大学,德国,12-22
201-300,汉堡大学,德国,12-22
201-300,休斯顿大学,美国,60-78
201-300,因斯布鲁克大学,奥地利,2-3
201-300,莱比锡大学,德国,12-22
201-300,里斯本大学,葡萄牙,1-2
201-300,洛林大学,法国,9-11
201-300,马尼托巴大学,加拿大,9-12
201-300,马萨诸塞大学-阿默斯特,美国,60-78
201-300,密苏里大学-哥伦比亚,美国,60-78
201-300,那不勒斯菲里德里克第二大学,意大利,4-8
201-300,渥太华大学,加拿大,9-12
201-300,帕多瓦大学,意大利,4-8
201-300,波尔图大学,葡萄牙,1-2
201-300,苏赛克斯大学,英国,21-25
201-300,悉尼科技大学,澳大利亚,9-15
201-300,田纳西大学-诺克斯维尔,美国,60-78
201-300,筑波大学,日本,5-9
201-300,都灵大学,意大利,4-8
201-300,巴伦西亚大学,西班牙,2
201-300,弗吉尼亚大学,美国,60-78
201-300,维尔茨堡大学,德国,12-22
201-300,弗吉尼亚联邦（州立）大学,美国,60-78
201-300,弗吉尼亚理工学院,美国,60-78
201-300,西安大略大学,加拿大,9-12
201-300,武汉理工大学,中国,34-51
201-300,延世大学,韩国,3-6
301-400,阿尔伯特·爱因斯坦医学院,美国,79-98
301-400,安徽大学,中国,52-74
301-400,巴塞罗那自治大学,西班牙,3-8
301-400,马德里自治大学,西班牙,3-8
301-400,北京工业大学,中国,52-74
301-400,内盖夫本·古里安大学,以色列,5
301-400,布兰迪斯大学,美国,79-98
301-400,开罗大学,埃及,1
301-400,布拉格查尔斯大学,捷克,1
301-400,中国地质大学（北京）,中国,52-74
301-400,中国石油大学（华东）,中国,52-74
301-400,马德里康普顿斯大学,西班牙,3-8
301-400,达尔豪斯大学,加拿大,13-16
301-400,达特茅斯学院,美国,79-98
301-400,杜伦大学,英国,26-31
301-400,华东理工大学,中国,52-74
301-400,里昂高等师范学校,法国,12-16
301-400,佛罗里达州立大学,美国,79-98
301-400,广东工业大学,中国,52-74
301-400,广西大学,中国,52-74
301-400,汉阳大学,韩国,7-8
301-400,华中农业大学,中国,52-74
301-400,印第安纳大学-印第安纳波利斯,美国,79-98
301-400,巴黎理工学院 (IPP),法国,12-16
301-400,詹姆斯库克大学,澳大利亚,16-21
301-400,江南大学,中国,52-74
301-400,庆应义塾大学,日本,10
301-400,乐卓博大学,澳大利亚,16-21
301-400,兰卡斯特大学,英国,26-31
301-400,拉瓦尔大学,加拿大,13-16
301-400,林雪平大学,瑞典,7-8
301-400,南京农业大学,中国,52-74
301-400,南京工业大学,中国,52-74
301-400,南京信息工程大学,中国,52-74
301-400,南京理工大学,中国,52-74
301-400,西北农林科技大学,中国,52-74
301-400,西北大学（西安）,中国,52-74
301-400,中国海洋大学,中国,52-74
301-400,图卢兹第三大学,法国,12-16
301-400,浦项理工大学,韩国,7-8
301-400,庞培法布拉大学,西班牙,3-8
301-400,本特·阿卜杜勒拉曼大学,沙特阿拉伯,4
301-400,青岛大学,中国,52-74
301-400,贝尔法斯特女王大学,英国,26-31
301-400,中国人民大学,中国,52-74
301-400,皇家墨尔本理工大学,澳大利亚,16-21
301-400,上海理工大学,中国,52-74
301-400,上海科技大学,中国,52-74
301-400,西蒙弗雷泽大学,加拿大,13-16
301-400,南方医科大学,中国,52-74
301-400,纽约州立大学-石溪,美国,79-98
301-400,瑞典农业科学大学,瑞典,7-8
301-400,乔治华盛顿大学,美国,79-98
301-400,图卢兹第一大学,法国,12-16
301-400,雅典大学,希腊,1
301-400,德克萨斯大学卫生科学中心-休斯顿,美国,79-98
301-400,科克大学学院,爱尔兰,2-3
301-400,都柏林大学学院,爱尔兰,2-3
301-400,安特卫普大学,比利时,5-7
301-400,辛辛那提大学,美国,79-98
301-400,康涅狄格大学-斯道思,美国,79-98
301-400,杜伊斯堡-埃森大学,德国,23-29
301-400,佛罗伦萨大学,意大利,9-12
301-400,热那亚大学,意大利,9-12
301-400,格拉纳达大学,西班牙,3-8
301-400,夏威夷大学-马诺阿,美国,79-98
301-400,伊利诺大学-芝加哥,美国,79-98
301-400,爱荷华大学,美国,79-98
301-400,耶拿大学,德国,23-29
301-400,堪萨斯大学-劳伦斯,美国,79-98
301-400,肯塔基大学,美国,79-98
301-400,莱斯特大学,英国,26-31
301-400,列日大学,比利时,5-7
301-400,里尔大学,法国,12-16
301-400,澳门大学,中国澳门,1
301-400,马尔堡大学,德国,23-29
301-400,马里兰大学-巴尔的摩,美国,79-98
301-400,迈阿密大学,美国,79-98
301-400,米兰比可卡大学,意大利,9-12
301-400,内布拉斯加大学-林肯,美国,79-98
301-400,圣母玛利亚大学,美国,79-98
301-400,波茨坦大学,德国,23-29
301-400,雷根斯堡大学,德国,23-29
301-400,南佛罗里达大学,美国,79-98
301-400,南丹麦大学,丹麦,4
301-400,圣安德鲁斯大学,英国,26-31
301-400,斯图加特大学,德国,23-29
301-400,塔斯马尼亚大学,澳大利亚,16-21
301-400,巴斯克大学,西班牙,3-8
301-400,金山大学,南非,2
301-400,特兰托大学,意大利,9-12
301-400,乌尔姆大学,德国,23-29
301-400,维多利亚大学（加拿大）,加拿大,13-16
301-400,卧龙冈大学,澳大利亚,16-21
301-400,约克大学（约克）,英国,26-31
301-400,维也纳工业大学,奥地利,4
301-400,布鲁塞尔自由大学（佛兰德语）,比利时,5-7
301-400,西悉尼大学,澳大利亚,16-21
301-400,扬州大学,中国,52-74
301-400,浙江工业大学,中国,52-74
401-500,奥尔堡大学,丹麦,5
401-500,阿尔托大学,芬兰,2-4
401-500,巴依兰大学,以色列,6
401-500,查尔姆斯理工大学,瑞典,9
401-500,中国医药大学,中国台湾,2-5
401-500,中国矿业大学,中国,75-91
401-500,纽约城市大学研究生院和大学中心,美国,99-114
401-500,德雷塞尔大学,美国,99-114
401-500,埃因霍温工业大学,荷兰,11-12
401-500,弗林德斯大学,澳大利亚,22-24
401-500,广州医科大学,中国,75-91
401-500,广州大学,中国,75-91
401-500,海南大学,中国,75-91
401-500,汉诺威医学院,德国,30-35
401-500,合肥工业大学,中国,75-91
401-500,河南大学,中国,75-91
401-500,河海大学,中国,75-91
401-500,印度科学理工学院,印度,1
401-500,伊斯坦布尔大学,土耳其,1
401-500,克拉科夫雅盖隆大学,波兰,1-2
401-500,哈立德国王大学,沙特阿拉伯,5-6
401-500,昆明理工大学,中国,75-91
401-500,庆熙大学,韩国,9-12
401-500,庆北国立大学,韩国,9-12
401-500,汉诺威大学,德国,30-35
401-500,路易斯安娜州立大学-巴吞鲁日,美国,99-114
401-500,澳门科技大学,中国澳门,2
401-500,马萨里克大学,捷克,2
401-500,南京林业大学,中国,75-91
401-500,南京师范大学,中国,75-91
401-500,南京邮电大学,中国,75-91
401-500,台湾成功大学,中国台湾,2-5
401-500,台湾清华大学,中国台湾,2-5
401-500,台湾阳明交通大学,中国台湾,2-5
401-500,中国人民解放军国防科技大学,中国,75-91
401-500,宁波大学,中国,75-91
401-500,冲绳科学技术大学院大学,日本,11
401-500,瓦伦西亚理工大学,西班牙,9-10
401-500,釜山国立大学,韩国,9-12
401-500,萨尔大学,德国,30-35
401-500,圣彼得堡国立大学,俄罗斯,2
401-500,圣保罗州立大学,巴西,2-4
401-500,华南农业大学,中国,75-91
401-500,西南交通大学,中国,75-91
401-500,纽约州立大学-布法罗,美国,99-114
401-500,斯坦陵布什大学,南非,3-4
401-500,塔伊夫大学,沙特阿拉伯,5-6
401-500,达姆施塔特工业大学,德国,30-35
401-500,德黑兰医科大学,伊朗,1-2
401-500,坦普尔大学,美国,99-114
401-500,德克萨斯技术大学,美国,99-114
401-500,邓迪大学,英国,32-35
401-500,佐治亚大学,美国,99-114
401-500,纽卡斯尔大学（澳大利亚纽卡斯尔）,澳大利亚,22-24
401-500,雷丁大学,英国,32-35
401-500,圣心天主教大学,意大利,13-18
401-500,南里奥格兰德联邦大学,巴西,2-4
401-500,南卡罗来纳大学-哥伦比亚,美国,99-114
401-500,德克萨斯大学医学部-加尔维斯顿,美国,99-114
401-500,阿拉巴马大学-伯明翰,美国,99-114
401-500,阿威罗大学,葡萄牙,3
401-500,巴里大学,意大利,13-18
401-500,拜罗伊特大学,德国,30-35
401-500,贝尔格莱德大学,塞尔维亚,1
401-500,坎皮纳斯州立大学,巴西,2-4
401-500,坎特伯雷大学,新西兰,2-4
401-500,卡塔尼亚大学,意大利,13-18
401-500,中佛罗里达大学,美国,99-114
401-500,智利大学,智利,1
401-500,蔚蓝海岸大学,法国,17-18
401-500,哈勒-维滕贝格大学,德国,30-35
401-500,约翰内斯堡大学,南非,3-4
401-500,肯特大学,英国,32-35
401-500,马来亚大学,马来西亚,1
401-500,俄勒冈大学,美国,99-114
401-500,奥塔哥大学,新西兰,2-4
401-500,奥卢大学,芬兰,2-4
401-500,帕维亚大学,意大利,13-18
401-500,雷恩大学,法国,17-18
401-500,罗马第二大学,意大利,13-18
401-500,萨斯喀彻温大学,加拿大,17-18
401-500,塞维利亚大学,西班牙,9-10
401-500,南澳大学,澳大利亚,22-24
401-500,萨里大学,英国,32-35
401-500,塞格德大学,匈牙利,1
401-500,德黑兰大学,伊朗,1-2
401-500,图尔库大学,芬兰,2-4
401-500,特文特大学,荷兰,11-12
401-500,蔚山大学,韩国,9-12
401-500,佛蒙特大学,美国,99-114
401-500,华沙大学,波兰,1-2
401-500,萨格勒布大学,克罗地亚,1
401-500,德克萨斯大学卫生科学中心-圣安东尼奥,美国,99-114
401-500,犹他州立大学,美国,99-114
401-500,惠灵顿维多利亚大学,新西兰,2-4
401-500,圣拉斐尔生命健康大学,意大利,13-18
401-500,华盛顿州立大学-普尔曼,美国,99-114
401-500,西安电子科技大学,中国,75-91
401-500,约克大学（多伦多）,加拿大,17-18
401-500,云南大学,中国,75-91
501-600,安徽医科大学,中国,92-114
501-600,萨洛尼卡大学,希腊,2
501-600,奥本大学,美国,115-142
501-600,贝勒大学,美国,115-142
501-600,北京交通大学,中国,92-114
501-600,北京邮电大学,中国,92-114
501-600,纽约州立大学宾汉姆顿大学,美国,115-142
501-600,波士顿学院,美国,115-142
501-600,卡尔顿大学,加拿大,19-20
501-600,华中师范大学,中国,92-114
501-600,常州大学,中国,92-114
501-600,香港中文大学（深圳）,中国,92-114
501-600,重庆医科大学,中国,92-114
501-600,全南大学,韩国,13-15
501-600,东华大学,中国,92-114
501-600,罗兰大学,匈牙利,2
501-600,米纳斯吉拉斯联邦大学,巴西,5-6
501-600,里约热内卢联邦大学,巴西,5-6
501-600,佛罗里达国际大学,美国,115-142
501-600,福建医科大学,中国,92-114
501-600,乔治城大学,美国,115-142
501-600,佐治亚州立大学,美国,115-142
501-600,贵州大学,中国,92-114
501-600,杭州电子科技大学,中国,92-114
501-600,哈尔滨工程大学,中国,92-114
501-600,河北工业大学,中国,92-114
501-600,广岛大学,日本,12-16
